"","depth","Eggerelloides.scaber","Haplophragmoides.wilberti","Jadammina.macrescens","Textularia.agglutinans","Textularia.bocki","Textularia.calva","Textularia.sp.","Trochammina.inflata","Adelosina.bicornis","Adelosina.laevigata","Adelosina.mediterranensis","Adelosina.sp.","Cornuloculina.sp.","Cornuspira.incerta","Cornuspira.involvens","Lachlanella.undulata","Massilina.secans","Miliolinella.subrotunda","Miliolid.undetermined","Pyrgo.inornata","Pyrgo.sp.","Quinqueloculina.depressa","Quinqueloculina.lata","Quinqueloculina.longirostra","Quinqueloculina.oblonga","Quinqueloculina.seminula","Quinqueloculina.stelligera","Quinqueloculina.vulgaris","Quinqueloculina.sp.1","Quinqueloculina.sp.2","Triloculina.dubia","Triloculina.marioni","Triloculina.rotunda","Acervulina.inhaerens","Ammonia.beccarii","Astacolus.crepidulus","Asterigerinata.mamilla","Aubignyna.perlucida","Bolivina.difformis","Bolivina.dilatata","Bolivina.pseudoplicata","Bolivina.striatula","Bolivinellina.pseudopunctata","Brizalina.spathulata","Brizalina.variabilis","Buccella.granulata","Bulimina.aculeata","Bulimina.elongata","Bulimina.gibba","Bulimina.marginata","Buliminella.elegantissima","Cassidulina.carinata","Cassidulina.obtusa","Cibicides.lobulatus","Cibicides.sp.","Cribroelphidium.magellanicum","Cribroelphidium.oceanensis","Cribroelphidium.poeyanum","Cribroelphidium.selseyense","Cribroelphidium.williamsoni","Elphidium.advenum","Elphidium.crispum","Elphidium.earlandi","Elphidium.flexuosum","Elphidium.gerthi","Elphidium.incertum","Elphidium.macellum","Elphidium.margaritaceum","Elphidium.sp.","Epistominella.vitrea","Favulina.melo","Fissurina.lucida","Fissurina.marginata","Fissurina.sp.","Fursenkoina.schreibersiana","Gavelinopsis.praegeri","Globobulimina.sp.","Haynesina.depressula","Haynesina.germanica","Lagena.semistriata","Lagena.sulcata","Lagena.vulgaris","Nonionella.opima","Nonionoides.turgida","Patellina.corrugata","Rectuvigerina.compressa","Reussella.aculeata","Reussoolina.laevis","Rosalina.anomala","Rosalina.globularis","Rosalina.irregularis","Rosalina.valvulata","Rosalina.williamsoni","Rosalina.sp.1","Rosalina.sp.2","Spirillina.vivipara","Svratkina.sp.","Tretomphaloides.concinnus","Trifarina.angulosa","Uvigerina.peregrina","Valvulineria.bradyana"
"52",-1298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"53",-1318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"54",-1338,0,0,0,0,0,0,1,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,1,0,117,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,12,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"55",-1368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,308,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"56",-1388,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,218,0,1,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,6,78,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,2,7,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,6
"57",-1408,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,117,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,5,40,0,0,0,0,0,2,0,0,1,0,0,0,1,0,0,0,0,0,1,5,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,7
"58",-1428,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,107,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"59",-1448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,2,0,0,146,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,19,117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,8
"60",-1468,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,23,0,0,2,0,0,0,5,0,208,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,11,48,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27
"61",-1488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
